Year of Survey [Core],Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status,
2010,30.0,0,3,7,15.0,7,
2010,41.0,0,3,7,17.0,7,
2010,70.0,0,3,1,12.0,1,
2010,54.0,1,5,1,12.0,7,
2010,37.0,0,5,1,15.0,7,
2010,65.0,1,5,1,19.0,3,
2010,43.0,0,2,1,13.0,5,
2010,48.0,0,2,1,12.0,7,
2010,59.0,1,4,1,12.0,1,
2010,43.0,1,2,1,14.0,7,
2010,81.0,0,5,1,12.0,3,
2010,67.0,1,5,1,17.0,7,
2010,56.0,0,5,1,13.0,7,
2010,65.0,0,5,1,14.0,8,
2010,21.0,0,2,1,10.0,7,
2010,59.0,0,5,1,14.0,8,
2010,54.0,0,4,1,12.0,1,
2010,62.0,0,4,1,14.0,1,
2010,49.0,0,3,1,11.0,1,
2010,47.0,1,2,1,11.0,1,
2010,50.0,1,2,1,12.0,1,
2010,51.0,0,4,1,13.0,1,
2010,54.0,1,5,1,10.0,6,
2010,89.0,0,5,1,10.0,1,
2010,21.0,1,5,1,15.0,7,
2010,45.0,1,5,1,12.0,1,
2010,62.0,1,4,1,16.0,3,
2010,21.0,0,2,1,15.0,1,
2010,70.0,0,2,1,12.0,3,
2010,28.0,1,5,9,16.0,7,
2010,44.0,0,3,9,16.0,7,
2010,33.0,1,5,9,9.0,7,
2010,25.0,0,3,9,11.0,8,
2010,26.0,1,4,9,12.0,7,
2010,28.0,0,5,9,13.0,7,
2010,29.0,1,3,9,9.0,7,
2010,62.0,1,5,9,13.0,3,
2010,86.0,1,4,9,16.0,3,
2010,34.0,0,2,9,11.0,6,
2010,45.0,1,5,9,14.0,7,
2010,22.0,1,5,9,15.0,8,
2010,37.0,1,5,9,13.0,4,
2010,37.0,0,3,9,12.0,7,
2010,37.0,0,2,9,12.0,6,
2010,69.0,0,5,9,16.0,3,
2010,56.0,1,5,9,12.0,7,
2010,37.0,0,2,9,13.0,4,
2010,35.0,0,3,9,6.0,1,
2010,26.0,0,5,9,15.0,7,
2010,52.0,0,2,9,12.0,7,
2010,54.0,1,5,9,11.0,7,
2010,23.0,1,2,9,13.0,4,
2010,21.0,0,5,9,12.0,4,
2010,48.0,0,4,7,12.0,4,
2010,59.0,1,2,7,12.0,5,
2010,74.0,0,5,7,16.0,3,
2010,27.0,0,4,7,13.0,7,
2010,33.0,1,5,7,16.0,6,
2010,60.0,0,5,7,18.0,7,
2010,51.0,1,5,7,15.0,8,
2010,52.0,0,2,7,9.0,5,
2010,41.0,1,2,7,16.0,7,
2010,32.0,0,3,7,9.0,7,
2010,57.0,1,2,7,16.0,8,
2010,59.0,1,3,7,0.0,7,
2010,77.0,0,2,7,15.0,3,
2010,43.0,0,1,7,16.0,7,
2010,65.0,0,5,7,14.0,7,
2010,44.0,0,5,7,18.0,1,
2010,61.0,0,5,7,18.0,7,
2010,33.0,1,4,7,16.0,7,
2010,46.0,1,5,7,17.0,7,
2010,27.0,0,1,7,16.0,7,
2010,46.0,0,5,7,16.0,8,
2010,61.0,1,5,7,13.0,5,
2010,71.0,0,5,7,12.0,1,
2010,40.0,1,5,9,15.0,7,
2010,47.0,0,5,9,18.0,7,
2010,66.0,0,5,9,16.0,3,
2010,46.0,1,5,9,12.0,7,
2010,35.0,1,3,9,12.0,7,
2010,53.0,1,2,9,12.0,1,
2010,31.0,1,1,9,17.0,7,
2010,23.0,0,5,9,12.0,7,
2010,67.0,1,3,9,8.0,6,
2010,30.0,0,3,9,12.0,8,
2010,62.0,1,1,9,20.0,7,
2010,62.0,0,5,9,17.0,8,
2010,45.0,1,2,9,12.0,7,
2010,31.0,0,3,9,9.0,1,
2010,60.0,1,4,9,13.0,7,
2010,33.0,0,3,9,12.0,1,
2010,33.0,1,3,9,9.0,6,
2010,19.0,1,3,9,12.0,4,
2010,39.0,1,5,9,16.0,7,
2010,21.0,0,2,9,14.0,7,
2010,23.0,0,2,9,11.0,1,
2010,23.0,0,2,9,12.0,9,
2010,63.0,0,2,9,12.0,2,
2010,25.0,1,3,9,12.0,7,
2010,61.0,1,5,9,16.0,7,
2010,63.0,0,5,9,20.0,1,
2010,39.0,1,5,5,16.0,7,
2010,61.0,1,3,5,12.0,6,
2010,47.0,0,5,5,20.0,7,
2010,50.0,0,2,5,12.0,7,
2010,37.0,0,5,5,16.0,1,
2010,50.0,1,5,5,18.0,7,
2010,40.0,1,3,5,12.0,7,
2010,56.0,0,5,5,9.0,2,
2010,49.0,1,5,5,14.0,7,
2010,68.0,1,5,5,16.0,3,
2010,53.0,1,5,5,14.0,7,
2010,59.0,0,5,5,12.0,3,
2010,66.0,0,5,5,15.0,3,
2010,59.0,1,5,5,13.0,7,
2010,70.0,1,5,5,17.0,7,
2010,53.0,0,5,5,16.0,7,
2010,31.0,0,5,5,12.0,2,
2010,36.0,0,4,5,13.0,1,
2010,84.0,1,5,5,16.0,3,
2010,62.0,0,5,5,16.0,7,
2010,71.0,1,4,5,10.0,7,
2010,41.0,0,5,5,12.0,7,
2010,44.0,1,5,5,18.0,7,
2010,89.0,0,5,5,12.0,3,
2010,26.0,0,5,5,15.0,4,
2010,39.0,1,5,5,16.0,7,
2010,41.0,0,5,5,17.0,1,
2010,25.0,1,2,7,11.0,7,
2010,64.0,1,2,7,14.0,3,
2010,55.0,0,2,7,16.0,6,
2010,21.0,0,2,7,12.0,5,
2010,21.0,1,2,7,14.0,8,
2010,41.0,0,4,7,13.0,6,
2010,51.0,0,5,7,18.0,7,
2010,44.0,1,5,7,16.0,7,
2010,35.0,1,5,7,12.0,7,
2010,47.0,0,2,7,15.0,5,
2010,41.0,0,2,7,13.0,7,
2010,65.0,1,5,7,18.0,3,
2010,34.0,1,5,7,20.0,7,
2010,26.0,0,5,7,12.0,7,
2010,41.0,0,4,7,18.0,8,
2010,32.0,0,5,7,16.0,8,
2010,48.0,1,5,7,18.0,7,
2010,29.0,0,3,7,6.0,1,
2010,47.0,1,2,7,14.0,6,
2010,33.0,1,3,7,12.0,7,
2010,54.0,1,5,7,18.0,7,
2010,24.0,1,5,7,14.0,7,
2010,47.0,1,5,7,16.0,8,
2010,54.0,1,3,7,4.0,7,
2010,29.0,0,2,7,13.0,4,
2010,37.0,0,5,7,16.0,7,
2010,43.0,1,3,4,11.0,7,
2010,29.0,0,3,4,10.0,6,
2010,56.0,1,3,4,10.0,6,
2010,33.0,1,3,4,11.0,6,
2010,31.0,1,3,4,2.0,7,
2010,27.0,0,4,4,13.0,6,
2010,33.0,1,3,4,11.0,7,
2010,31.0,0,3,4,6.0,8,
2010,58.0,1,5,4,13.0,7,
2010,89.0,0,5,4,14.0,3,
2010,88.0,1,5,4,16.0,3,
2010,18.0,1,3,4,11.0,4,
2010,40.0,1,5,4,12.0,7,
2010,69.0,1,5,4,12.0,3,
2010,79.0,0,5,4,14.0,3,
2010,58.0,0,5,4,13.0,8,
2010,62.0,0,5,7,12.0,7,
2010,64.0,1,5,7,12.0,3,
2010,23.0,0,5,7,11.0,4,
2010,31.0,1,5,7,12.0,7,
2010,65.0,1,3,7,14.0,2,
2010,46.0,1,5,7,12.0,7,
2010,54.0,0,5,7,13.0,7,
2010,63.0,0,3,7,12.0,3,
2010,44.0,1,5,7,14.0,7,
2010,36.0,1,3,7,12.0,6,
2010,20.0,1,3,7,12.0,8,
2010,56.0,0,5,7,12.0,1,
2010,21.0,1,5,8,14.0,7,
2010,25.0,0,3,8,16.0,7,
2010,24.0,0,5,8,12.0,7,
2010,30.0,0,5,8,17.0,7,
2010,68.0,1,5,8,13.0,7,
2010,25.0,0,5,8,16.0,1,
2010,67.0,1,5,8,15.0,8,
2010,52.0,1,5,8,16.0,7,
2010,53.0,0,5,8,12.0,6,
2010,58.0,0,5,8,16.0,2,
2010,32.0,0,5,8,16.0,7,
2010,58.0,0,5,8,16.0,6,
2010,43.0,1,5,8,16.0,7,
2010,57.0,1,5,8,8.0,7,
2010,23.0,0,2,8,15.0,8,
2010,31.0,1,2,8,12.0,7,
2010,46.0,1,5,8,12.0,7,
2010,77.0,1,5,8,20.0,3,
2010,25.0,1,5,8,11.0,4,
2010,49.0,1,5,8,16.0,7,
2010,44.0,1,5,8,12.0,6,
2010,39.0,1,5,8,15.0,7,
2010,54.0,1,5,8,12.0,7,
2010,56.0,1,5,8,12.0,7,
2010,56.0,1,2,7,16.0,7,
2010,34.0,1,5,7,16.0,7,
2010,30.0,0,2,7,16.0,7,
2010,42.0,1,5,7,14.0,7,
2010,40.0,1,2,7,17.0,7,
2010,68.0,0,5,7,11.0,1,
2010,20.0,0,4,7,14.0,4,
2010,27.0,0,5,7,19.0,7,
2010,34.0,1,3,7,12.0,7,
2010,75.0,1,5,7,12.0,8,
2010,71.0,0,5,7,12.0,3,
2010,45.0,1,4,7,12.0,8,
2010,48.0,0,5,7,14.0,5,
2010,54.0,0,5,7,16.0,1,
2010,63.0,1,5,7,12.0,2,
2010,28.0,0,4,7,12.0,7,
2010,44.0,0,3,7,8.0,6,
2010,37.0,0,5,7,14.0,8,
2010,69.0,0,5,7,12.0,1,
2010,54.0,0,5,7,11.0,1,
2010,60.0,1,5,7,12.0,3,
2010,25.0,1,5,7,12.0,7,
2010,69.0,0,5,7,11.0,8,
2010,53.0,0,5,7,10.0,7,
2010,42.0,0,5,7,12.0,6,
2010,59.0,0,5,7,18.0,5,
2010,84.0,1,5,7,11.0,3,
2010,22.0,0,5,8,13.0,7,
2010,55.0,0,5,8,12.0,7,
2010,32.0,1,2,8,10.0,3,
2010,43.0,0,5,1,16.0,6,
2010,40.0,1,5,1,16.0,7,
2010,38.0,1,5,1,18.0,2,
2010,65.0,1,5,1,12.0,8,
2010,54.0,0,5,1,5.0,1,
2010,62.0,0,5,8,14.0,3,
2010,24.0,0,5,8,12.0,7,
2010,33.0,1,5,8,12.0,3,
2010,51.0,0,5,8,16.0,7,
2010,72.0,0,4,8,9.0,3,
2010,84.0,0,5,8,15.0,3,
2010,37.0,0,5,8,12.0,7,
2010,66.0,1,5,8,15.0,3,
2010,77.0,1,2,8,4.0,3,
2010,47.0,0,4,8,11.0,3,
2010,55.0,0,5,9,13.0,7,
2010,76.0,1,5,9,16.0,3,
2010,39.0,0,5,9,9.0,6,
2010,25.0,1,3,9,10.0,7,
2010,21.0,0,3,9,14.0,7,
2010,23.0,0,3,9,14.0,8,
2010,55.0,0,3,9,12.0,7,
2010,42.0,0,5,9,12.0,2,
2010,24.0,0,5,9,14.0,4,
2010,45.0,1,5,9,12.0,7,
2010,83.0,1,5,7,6.0,3,
2010,88.0,1,5,7,8.0,3,
2010,76.0,1,5,7,16.0,3,
2010,50.0,0,2,7,14.0,7,
2010,49.0,0,5,7,16.0,7,
2010,43.0,1,5,7,18.0,7,
2010,32.0,1,5,7,16.0,7,
2010,27.0,0,3,7,16.0,7,
2010,35.0,1,4,7,16.0,7,
2010,43.0,0,5,7,12.0,7,
2010,38.0,0,2,7,13.0,6,
2010,34.0,0,5,7,18.0,7,
2010,29.0,0,1,7,20.0,7,
2010,29.0,1,5,7,20.0,5,
2010,23.0,0,2,7,13.0,6,
2010,54.0,1,2,7,19.0,7,
2010,82.0,0,2,7,8.0,3,
2010,54.0,0,2,7,11.0,1,
2010,34.0,1,1,6,12.0,6,
2010,48.0,1,3,6,15.0,7,
2010,38.0,0,3,6,6.0,1,
2010,64.0,0,3,6,6.0,1,
2010,49.0,1,5,6,11.0,6,
2010,31.0,1,2,6,14.0,7,
2010,29.0,0,5,6,16.0,7,
