Age [Demographic Core],Sex,Highest Grade Completed [Demographic],Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Employment Status
51.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
65.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
42.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
65.0,0,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
25.0,0,13.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
36.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6
38.0,0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
18.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
38.0,1,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
41.0,0,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
20.0,1,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
39.0,1,16.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6
25.0,0,17.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
57.0,1,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
61.0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
31.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
30.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
68.0,0,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
50.0,1,16.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
27.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
30.0,1,16.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
65.0,0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
36.0,1,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
72.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
27.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
22.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
33.0,0,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
35.0,1,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
54.0,0,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
18.0,1,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
48.0,1,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
64.0,1,19.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
89.0,0,19.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
48.0,0,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
44.0,0,6.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
42.0,1,15.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
26.0,0,16.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
61.0,0,14.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8
34.0,1,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
53.0,1,17.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
32.0,1,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
61.0,1,14.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
28.0,1,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6
39.0,1,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
61.0,1,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
65.0,1,18.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
34.0,1,18.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
87.0,1,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
24.0,1,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
39.0,0,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8
76.0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
32.0,1,14.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
55.0,0,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8
62.0,1,14.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
39.0,1,6.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8
30.0,0,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
89.0,0,8.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
30.0,1,10.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
35.0,0,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
69.0,0,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
89.0,0,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
55.0,1,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
78.0,0,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
43.0,1,17.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
68.0,0,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
71.0,1,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
47.0,0,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
76.0,0,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
55.0,1,16.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
49.0,0,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
47.0,1,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
59.0,1,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
71.0,1,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
32.0,0,12.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
30.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
38.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
62.0,0,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
49.0,1,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
52.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
52.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
33.0,1,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
65.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
55.0,1,12.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
45.0,0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
35.0,1,9.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
36.0,0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
43.0,0,16.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
83.0,1,13.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
64.0,1,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
38.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
25.0,1,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
81.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
23.0,0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
21.0,0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
30.0,0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
69.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
62.0,0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
39.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
25.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
75.0,1,20.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
46.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
57.0,1,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20.0,1,13.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
53.0,0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
53.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
42.0,0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
63.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
55.0,1,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
54.0,1,17.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
77.0,1,20.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
48.0,0,16.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
52.0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
31.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
21.0,1,12.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
50.0,0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
38.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
33.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
26.0,1,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
33.0,0,14.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44.0,0,17.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
25.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
27.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
28.0,0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
22.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
48.0,0,17.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
89.0,1,8.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
49.0,0,17.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
64.0,1,17.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
41.0,1,15.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
57.0,1,9.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
46.0,0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
58.0,0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
78.0,0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
45.0,0,19.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
38.0,0,14.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
69.0,0,20.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
61.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
37.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
47.0,1,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
26.0,1,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
41.0,0,13.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
