,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
3302,24.0,1.0,15.0,0.0,11.0,6.0,2.0,1.0,3.0,5.0,6.0,1.0,0.0,59755.0,5.0,4.0,0.0,2.0,6.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,5
3303,32.0,0.0,15.0,0.0,12.0,7.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,73337.0,1.0,2.0,1.0,0.0,6.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,5
3304,30.0,1.0,15.0,0.0,16.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,89634.0,1.0,2.0,3.0,1.0,4.0,2.0,6.0,3.0,0.0,2.0,4.0,4.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,6
3305,78.0,1.0,15.0,0.0,13.0,2.0,1.0,2.0,3.0,6.0,5.0,1.0,0.0,48891.0,1.0,2.0,0.0,3.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,4
3306,19.0,1.0,15.0,0.0,12.0,6.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,16842.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,1
3307,45.0,1.0,15.0,0.0,9.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,25803.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,2
3308,61.0,1.0,15.0,0.0,16.0,6.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,73337.0,1.0,2.0,0.0,2.0,3.0,3.0,7.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,1.0,2.0,2.0,2.0,5
3309,67.0,0.0,15.0,0.0,9.0,7.0,2.0,2.0,3.0,4.0,3.0,1.0,0.0,5976.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,0
3310,50.0,1.0,15.0,0.0,12.0,1.0,0.0,1.0,3.0,6.0,5.0,1.0,0.0,544.0,5.0,2.0,0.0,8.0,5.0,2.0,5.0,2.0,2.0,0.0,5.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0
3311,50.0,1.0,15.0,0.0,12.0,1.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,14938.0,1.0,2.0,0.0,8.0,5.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,1
