,age,highest_grade,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
54,75.0,12.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,,10.0,1.0,,1.0,0.0,1.0,3.0,1.0,4.0,3.0
55,81.0,8.0,2.0,2.0,6.0,0.0,2.0,,,3.0,,,2.0,,0.0,2.0,,,,
56,67.0,19.0,2.0,3.0,6.0,1.0,1.0,0.0,2.0,,5.0,0.0,,1.0,0.0,2.0,3.0,1.0,2.0,
57,71.0,19.0,3.0,3.0,6.0,1.0,0.0,0.0,5.0,4.0,7.0,2.0,4.0,2.0,,,1.0,0.0,2.0,0.0
58,35.0,6.0,2.0,2.0,3.0,0.0,0.0,,,1.0,,,3.0,,0.0,2.0,,,,
59,45.0,17.0,2.0,2.0,5.0,0.0,1.0,,,3.0,,,2.0,,0.0,2.0,,,,
60,35.0,16.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,,5.0,2.0,,2.0,0.0,2.0,3.0,0.0,2.0,1.0
61,21.0,14.0,2.0,1.0,3.0,1.0,0.0,,,1.0,,,,,0.0,2.0,,,,
62,52.0,11.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,2.0,,,0.0,0.0,2.0,2.0
63,49.0,16.0,2.0,2.0,6.0,0.0,1.0,3.0,4.0,,3.0,2.0,,0.0,0.0,2.0,,2.0,3.0,3.0
64,46.0,16.0,0.0,0.0,4.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,,,2.0,0.0,2.0,3.0
65,51.0,14.0,1.0,2.0,3.0,1.0,0.0,,,3.0,,,0.0,,0.0,1.0,,,,
66,28.0,16.0,0.0,0.0,5.0,1.0,0.0,5.0,5.0,,3.0,1.0,,2.0,0.0,2.0,1.0,2.0,2.0,2.0
